"time","fanRotor.fan_speed_rad_s","der(fanRotor.fan_speed_rad_s)","aerodynamicLoad.T_aero_Nm","bearingFriction.T_friction_Nm","fanRotor.domega_dt","motor_on_cmd","motor_torque_Nm","torque_balance_residual_Nm","motorCommand.motor_on_cmd","aerodynamicLoad.omega_rad_s","bearingFriction.omega_rad_s","fanRotor.T_aero_Nm","fanRotor.T_friction_Nm","fanRotor.motor_torque_Nm","fan_speed_rad_s","motorCommand.motor_torque_Nm"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.000000001000047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.000000001000047,0,25,0,0,25,1,0.5,0.5,1,0,0,0,0,0.5,0,0.5
5.04,0.9898048433993604,24.48550330573998,0.0003918854512067329,0.009898048433993605,24.48550330573998,1,0.5,0.4897100661147997,1,0.9898048433993604,0.9898048433993604,0.0003918854512067329,0.009898048433993605,0.5,0.9898048433993604,0.5
5.1,2.434573180244672,23.66417047847833,0.002370858627986664,0.02434573180244673,23.66417047847833,1,0.5,0.4732834095695667,1,2.434573180244672,2.434573180244672,0.002370858627986664,0.02434573180244673,0.5,2.434573180244672,0.5
5.16,3.82850137353748,22.79260085788769,0.005862969106871348,0.0382850137353748,22.79260085788769,1,0.5,0.4558520171577539,1,3.82850137353748,3.82850137353748,0.005862969106871348,0.0382850137353748,0.5,3.82850137353748,0.5
5.22,5.168888726330682,21.88120742353089,0.01068696426607537,0.05168888726330682,21.88120742353089,1,0.5,0.4376241484706178,1,5.168888726330682,5.168888726330682,0.01068696426607537,0.05168888726330682,0.5,5.168888726330682,0.5
5.28,6.453652836979523,20.94018088270516,0.01665985397610154,0.06453652836979523,20.94018088270516,1,0.5,0.4188036176541032,1,6.453652836979523,6.453652836979523,0.01665985397610154,0.06453652836979523,0.5,6.453652836979523,0.5
