"time","tankA.level_m","tankB.level_m","der(tankA.level_m)","der(tankB.level_m)","q_m3s","valve_open_cmd","zeroFlow.y","valveCommand.openCmd","connectingFlow.level_A_m","connectingFlow.level_B_m","connectingFlow.q_m3s","level_A_m","level_B_m","tankA.qIn_m3s","tankA.qOut_m3s","tankB.qIn_m3s","tankB.qOut_m3s","connectingFlow.openCmd"
0,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
0.15,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
0.3,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
0.45,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
0.6,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
0.75,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
0.9,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
1.05,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
1.2,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
1.35,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
1.5,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
1.65,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
1.8,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
1.95,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
2.1,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
2.25,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
2.4,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
2.55,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
2.7,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
2.85,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
3,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
3.15,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
3.3,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
3.45,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
3.6,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
3.75,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
3.9,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
4.05,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
4.2,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
4.35,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
4.5,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
4.65,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
4.8,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
4.95,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
5.000001000000333,0.8,0,-0,0,0,0,0,0,0.8,0,0,0.8,0,0,0,0,0,0
5.000001000000333,0.8,0,-0.04000000000000001,0.04000000000000001,0.02,1,0,1,0.8,0,0.02,0.8,0,0,0.02,0.02,0,1
5.1,0.7960199600420754,0.003980039957924594,-0.03960199600420754,0.03960199600420754,0.01980099800210377,1,0,1,0.7960199600420754,0.003980039957924594,0.01980099800210377,0.7960199600420754,0.003980039957924594,0,0.01980099800210377,0.01980099800210377,0,1
5.25,0.790123726163064,0.009876273836935904,-0.03901237261630641,0.03901237261630641,0.01950618630815321,1,0,1,0.790123726163064,0.009876273836935904,0.01950618630815321,0.790123726163064,0.009876273836935904,0,0.01950618630815321,0.01950618630815321,0,1
5.4,0.7843149805589981,0.01568501944100191,-0.03843149805589981,0.03843149805589981,0.01921574902794991,1,0,1,0.7843149805589981,0.01568501944100191,0.01921574902794991,0.7843149805589981,0.01568501944100191,0,0.01921574902794991,0.01921574902794991,0,1
5.55,0.778591101550529,0.02140889844947096,-0.03785911015505291,0.03785911015505291,0.01892955507752645,1,0,1,0.778591101550529,0.02140889844947096,0.01892955507752645,0.778591101550529,0.02140889844947096,0,0.01892955507752645,0.01892955507752645,0,1
5.7,0.7729521787255751,0.02704782127442486,-0.03729521787255751,0.03729521787255751,0.01864760893627876,1,0,1,0.7729521787255751,0.02704782127442486,0.01864760893627876,0.7729521787255751,0.02704782127442486,0,0.01864760893627876,0.01864760893627876,0,1
5.85,0.7673969209470098,0.03260307905299012,-0.03673969209470099,0.03673969209470099,0.01836984604735049,1,0,1,0.7673969209470098,0.03260307905299012,0.01836984604735049,0.7673969209470098,0.03260307905299012,0,0.01836984604735049,0.01836984604735049,0,1
6,0.7619185860777721,0.03808141392222791,-0.0361918586077772,0.0361918586077772,0.0180959293038886,1,0,1,0.7619185860777721,0.03808141392222791,0.0180959293038886,0.7619185860777721,0.03808141392222791,0,0.0180959293038886,0.0180959293038886,0,1
6.15,0.7565207092661735,0.04347929073382648,-0.03565207092661735,0.03565207092661735,0.01782603546330868,1,0,1,0.7565207092661735,0.04347929073382648,0.01782603546330868,0.7565207092661735,0.04347929073382648,0,0.01782603546330868,0.01782603546330868,0,1
6.3,0.7512032905122142,0.04879670948778578,-0.03512032905122142,0.03512032905122142,0.01756016452561071,1,0,1,0.7512032905122142,0.04879670948778578,0.01756016452561071,0.7512032905122142,0.04879670948778578,0,0.01756016452561071,0.01756016452561071,0,1
6.45,0.7459663298158941,0.05403367018410587,-0.03459663298158941,0.03459663298158941,0.0172983164907947,1,0,1,0.7459663298158941,0.05403367018410587,0.0172983164907947,0.7459663298158941,0.05403367018410587,0,0.0172983164907947,0.0172983164907947,0,1
6.6,0.7408098271772132,0.0591901728227867,-0.03408098271772133,0.03408098271772133,0.01704049135886066,1,0,1,0.7408098271772132,0.0591901728227867,0.01704049135886066,0.7408098271772132,0.0591901728227867,0,0.01704049135886066,0.01704049135886066,0,1
6.75,0.7357146597661344,0.06428534023386551,-0.03357146597661344,0.03357146597661344,0.01678573298830672,1,0,1,0.7357146597661344,0.06428534023386551,0.01678573298830672,0.7357146597661344,0.06428534023386551,0,0.01678573298830672,0.01678573298830672,0,1
6.9,0.7306861784551996,0.06931382154480042,-0.03306861784551995,0.03306861784551995,0.01653430892275998,1,0,1,0.7306861784551996,0.06931382154480042,0.01653430892275998,0.7306861784551996,0.06931382154480042,0,0.01653430892275998,0.01653430892275998,0,1
7.05,0.7257298806341783,0.07427011936582172,-0.03257298806341783,0.03257298806341783,0.01628649403170892,1,0,1,0.7257298806341783,0.07427011936582172,0.01628649403170892,0.7257298806341783,0.07427011936582172,0,0.01628649403170892,0.01628649403170892,0,1
7.2,0.7208457663030705,0.07915423369692942,-0.03208457663030705,0.03208457663030705,0.01604228831515353,1,0,1,0.7208457663030705,0.07915423369692942,0.01604228831515353,0.7208457663030705,0.07915423369692942,0,0.01604228831515353,0.01604228831515353,0,1
7.35,0.7160338354618764,0.08396616453812353,-0.03160338354618764,0.03160338354618764,0.01580169177309382,1,0,1,0.7160338354618764,0.08396616453812353,0.01580169177309382,0.7160338354618764,0.08396616453812353,0,0.01580169177309382,0.01580169177309382,0,1
7.5,0.7112940881105959,0.08870591188940405,-0.0311294088110596,0.0311294088110596,0.0155647044055298,1,0,1,0.7112940881105959,0.08870591188940405,0.0155647044055298,0.7112940881105959,0.08870591188940405,0,0.0155647044055298,0.0155647044055298,0,1
7.65,0.7066265242492289,0.093373475750771,-0.03066265242492289,0.03066265242492289,0.01533132621246145,1,0,1,0.7066265242492289,0.093373475750771,0.01533132621246145,0.7066265242492289,0.093373475750771,0,0.01533132621246145,0.01533132621246145,0,1
7.8,0.7020311438777757,0.09796885612222432,-0.03020311438777757,0.03020311438777757,0.01510155719388879,1,0,1,0.7020311438777757,0.09796885612222432,0.01510155719388879,0.7020311438777757,0.09796885612222432,0,0.01510155719388879,0.01510155719388879,0,1
7.95,0.697507946996236,0.1024920530037641,-0.0297507946996236,0.0297507946996236,0.0148753973498118,1,0,1,0.697507946996236,0.1024920530037641,0.0148753973498118,0.697507946996236,0.1024920530037641,0,0.0148753973498118,0.0148753973498118,0,1
8.1,0.6930569336046097,0.1069430663953902,-0.02930569336046098,0.02930569336046098,0.01465284668023049,1,0,1,0.6930569336046097,0.1069430663953902,0.01465284668023049,0.6930569336046097,0.1069430663953902,0,0.01465284668023049,0.01465284668023049,0,1
8.25,0.6886781037028972,0.1113218962971028,-0.02886781037028972,0.02886781037028972,0.01443390518514486,1,0,1,0.6886781037028972,0.1113218962971028,0.01443390518514486,0.6886781037028972,0.1113218962971028,0,0.01443390518514486,0.01443390518514486,0,1
8.4,0.6843363038539467,0.1156636961460531,-0.02843363038539468,0.02843363038539468,0.01421681519269734,1,0,1,0.6843363038539467,0.1156636961460531,0.01421681519269734,0.6843363038539467,0.1156636961460531,0,0.01421681519269734,0.01421681519269734,0,1
8.550000000000001,0.6800524527739957,0.1199475472260041,-0.02800524527739958,0.02800524527739958,0.01400262263869979,1,0,1,0.6800524527739957,0.1199475472260041,0.01400262263869979,0.6800524527739957,0.1199475472260041,0,0.01400262263869979,0.01400262263869979,0,1
8.699999999999999,0.6758335045431046,0.1241664954568952,-0.02758335045431047,0.02758335045431047,0.01379167522715524,1,0,1,0.6758335045431046,0.1241664954568952,0.01379167522715524,0.6758335045431046,0.1241664954568952,0,0.01379167522715524,0.01379167522715524,0,1
8.85,0.6716794591612734,0.1283205408387265,-0.02716794591612734,0.02716794591612734,0.01358397295806367,1,0,1,0.6716794591612734,0.1283205408387265,0.01358397295806367,0.6716794591612734,0.1283205408387265,0,0.01358397295806367,0.01358397295806367,0,1
9,0.667590316628502,0.132409683371498,-0.0267590316628502,0.0267590316628502,0.0133795158314251,1,0,1,0.667590316628502,0.132409683371498,0.0133795158314251,0.667590316628502,0.132409683371498,0,0.0133795158314251,0.0133795158314251,0,1
9.15,0.6635660769447903,0.1364339230552096,-0.02635660769447904,0.02635660769447904,0.01317830384723952,1,0,1,0.6635660769447903,0.1364339230552096,0.01317830384723952,0.6635660769447903,0.1364339230552096,0,0.01317830384723952,0.01317830384723952,0,1
9.300000000000001,0.6596067401101386,0.1403932598898613,-0.02596067401101387,0.02596067401101387,0.01298033700550693,1,0,1,0.6596067401101386,0.1403932598898613,0.01298033700550693,0.6596067401101386,0.1403932598898613,0,0.01298033700550693,0.01298033700550693,0,1
9.449999999999999,0.6557123061245467,0.1442876938754531,-0.02557123061245468,0.02557123061245468,0.01278561530622734,1,0,1,0.6557123061245467,0.1442876938754531,0.01278561530622734,0.6557123061245467,0.1442876938754531,0,0.01278561530622734,0.01278561530622734,0,1
9.6,0.6518827749880147,0.1481172250119852,-0.02518827749880148,0.02518827749880148,0.01259413874940074,1,0,1,0.6518827749880147,0.1481172250119852,0.01259413874940074,0.6518827749880147,0.1481172250119852,0,0.01259413874940074,0.01259413874940074,0,1
9.75,0.6481181467005426,0.1518818532994574,-0.02481181467005426,0.02481181467005426,0.01240590733502713,1,0,1,0.6481181467005426,0.1518818532994574,0.01240590733502713,0.6481181467005426,0.1518818532994574,0,0.01240590733502713,0.01240590733502713,0,1
9.9,0.6444184212621302,0.1555815787378697,-0.02444184212621303,0.02444184212621303,0.01222092106310651,1,0,1,0.6444184212621302,0.1555815787378697,0.01222092106310651,0.6444184212621302,0.1555815787378697,0,0.01222092106310651,0.01222092106310651,0,1
10.05,0.6407346706213983,0.1592653293786016,-0.02407346706213984,0.02407346706213984,0.01203673353106992,1,0,1,0.6407346706213983,0.1592653293786016,0.01203673353106992,0.6407346706213983,0.1592653293786016,0,0.01203673353106992,0.01203673353106992,0,1
10.2,0.6371016265654046,0.1628983734345953,-0.02371016265654047,0.02371016265654047,0.01185508132827023,1,0,1,0.6371016265654046,0.1628983734345953,0.01185508132827023,0.6371016265654046,0.1628983734345953,0,0.01185508132827023,0.01185508132827023,0,1
10.35,0.6335242848145872,0.1664757151854127,-0.02335242848145873,0.02335242848145873,0.01167621424072936,1,0,1,0.6335242848145872,0.1664757151854127,0.01167621424072936,0.6335242848145872,0.1664757151854127,0,0.01167621424072936,0.01167621424072936,0,1
10.5,0.630002645368946,0.1699973546310538,-0.02300026453689461,0.02300026453689461,0.01150013226844731,1,0,1,0.630002645368946,0.1699973546310538,0.01150013226844731,0.630002645368946,0.1699973546310538,0,0.01150013226844731,0.01150013226844731,0,1
10.65,0.6265367082284813,0.1734632917715186,-0.02265367082284814,0.02265367082284814,0.01132683541142407,1,0,1,0.6265367082284813,0.1734632917715186,0.01132683541142407,0.6265367082284813,0.1734632917715186,0,0.01132683541142407,0.01132683541142407,0,1
10.8,0.6231264733931928,0.176873526606807,-0.02231264733931929,0.02231264733931929,0.01115632366965965,1,0,1,0.6231264733931928,0.176873526606807,0.01115632366965965,0.6231264733931928,0.176873526606807,0,0.01115632366965965,0.01115632366965965,0,1
10.95,0.6197719408630809,0.180228059136919,-0.02197719408630809,0.02197719408630809,0.01098859704315405,1,0,1,0.6197719408630809,0.180228059136919,0.01098859704315405,0.6197719408630809,0.180228059136919,0,0.01098859704315405,0.01098859704315405,0,1
11.1,0.6164731106381451,0.1835268893618547,-0.02164731106381452,0.02164731106381452,0.01082365553190726,1,0,1,0.6164731106381451,0.1835268893618547,0.01082365553190726,0.6164731106381451,0.1835268893618547,0,0.01082365553190726,0.01082365553190726,0,1
11.25,0.6132299827183858,0.1867700172816141,-0.02132299827183859,0.02132299827183859,0.01066149913591929,1,0,1,0.6132299827183858,0.1867700172816141,0.01066149913591929,0.6132299827183858,0.1867700172816141,0,0.01066149913591929,0.01066149913591929,0,1
11.4,0.6100425571038027,0.1899574428961971,-0.02100425571038028,0.02100425571038028,0.01050212785519014,1,0,1,0.6100425571038027,0.1899574428961971,0.01050212785519014,0.6100425571038027,0.1899574428961971,0,0.01050212785519014,0.01050212785519014,0,1
11.55,0.606910833794396,0.1930891662056038,-0.02069108337943961,0.02069108337943961,0.01034554168971981,1,0,1,0.606910833794396,0.1930891662056038,0.01034554168971981,0.606910833794396,0.1930891662056038,0,0.01034554168971981,0.01034554168971981,0,1
11.7,0.6037868517083697,0.1962131482916303,-0.02037868517083697,0.02037868517083697,0.01018934258541849,1,0,1,0.6037868517083697,0.1962131482916303,0.01018934258541849,0.6037868517083697,0.1962131482916303,0,0.01018934258541849,0.01018934258541849,0,1
11.85,0.6007092923283551,0.1992907076716448,-0.02007092923283552,0.02007092923283552,0.01003546461641776,1,0,1,0.6007092923283551,0.1992907076716448,0.01003546461641776,0.6007092923283551,0.1992907076716448,0,0.01003546461641776,0.01003546461641776,0,1
12,0.597679185385811,0.2023208146141889,-0.01976791853858111,0.01976791853858111,0.009883959269290553,1,0,1,0.597679185385811,0.2023208146141889,0.009883959269290553,0.597679185385811,0.2023208146141889,0,0.009883959269290553,0.009883959269290553,0,1
12.15,0.5946965308807372,0.2053034691192627,-0.01946965308807372,0.01946965308807372,0.009734826544036861,1,0,1,0.5946965308807372,0.2053034691192627,0.009734826544036861,0.5946965308807372,0.2053034691192627,0,0.009734826544036861,0.009734826544036861,0,1
12.3,0.5917613288131337,0.2082386711868661,-0.01917613288131338,0.01917613288131338,0.009588066440656691,1,0,1,0.5917613288131337,0.2082386711868661,0.009588066440656691,0.5917613288131337,0.2082386711868661,0,0.009588066440656691,0.009588066440656691,0,1
12.45,0.5888735791830008,0.2111264208169992,-0.01888735791830008,0.01888735791830008,0.009443678959150041,1,0,1,0.5888735791830008,0.2111264208169992,0.009443678959150041,0.5888735791830008,0.2111264208169992,0,0.009443678959150041,0.009443678959150041,0,1
12.6,0.586033281990338,0.2139667180096619,-0.0186033281990338,0.0186033281990338,0.009301664099516901,1,0,1,0.586033281990338,0.2139667180096619,0.009301664099516901,0.586033281990338,0.2139667180096619,0,0.009301664099516901,0.009301664099516901,0,1
12.75,0.5832404372351456,0.2167595627648543,-0.01832404372351457,0.01832404372351457,0.009162021861757285,1,0,1,0.5832404372351456,0.2167595627648543,0.009162021861757285,0.5832404372351456,0.2167595627648543,0,0.009162021861757285,0.009162021861757285,0,1
12.9,0.5804950449174237,0.2195049550825763,-0.01804950449174237,0.01804950449174237,0.009024752245871185,1,0,1,0.5804950449174237,0.2195049550825763,0.009024752245871185,0.5804950449174237,0.2195049550825763,0,0.009024752245871185,0.009024752245871185,0,1
13.05,0.5777971050371721,0.2222028949628279,-0.01777971050371721,0.01777971050371721,0.008889855251858604,1,0,1,0.5777971050371721,0.2222028949628279,0.008889855251858604,0.5777971050371721,0.2222028949628279,0,0.008889855251858604,0.008889855251858604,0,1
13.2,0.5751453940220781,0.2248546059779219,-0.01751453940220781,0.01751453940220781,0.008757269701103907,1,0,1,0.5751453940220781,0.2248546059779219,0.008757269701103907,0.5751453940220781,0.2248546059779219,0,0.008757269701103907,0.008757269701103907,0,1
13.35,0.572516590445617,0.2274834095543829,-0.0172516590445617,0.0172516590445617,0.00862582952228085,1,0,1,0.572516590445617,0.2274834095543829,0.00862582952228085,0.572516590445617,0.2274834095543829,0,0.00862582952228085,0.00862582952228085,0,1
13.5,0.5699285327922237,0.2300714672077763,-0.01699285327922237,0.01699285327922237,0.008496426639611185,1,0,1,0.5699285327922237,0.2300714672077763,0.008496426639611185,0.5699285327922237,0.2300714672077763,0,0.008496426639611185,0.008496426639611185,0,1
13.65,0.5673806611169917,0.2326193388830083,-0.01673806611169917,0.01673806611169917,0.008369033055849587,1,0,1,0.5673806611169917,0.2326193388830083,0.008369033055849587,0.5673806611169917,0.2326193388830083,0,0.008369033055849587,0.008369033055849587,0,1
13.8,0.5648724154750147,0.2351275845249853,-0.01648724154750147,0.01648724154750147,0.008243620773750735,1,0,1,0.5648724154750147,0.2351275845249853,0.008243620773750735,0.5648724154750147,0.2351275845249853,0,0.008243620773750735,0.008243620773750735,0,1
13.95,0.5624032359213862,0.2375967640786137,-0.01624032359213863,0.01624032359213863,0.008120161796069314,1,0,1,0.5624032359213862,0.2375967640786137,0.008120161796069314,0.5624032359213862,0.2375967640786137,0,0.008120161796069314,0.008120161796069314,0,1
