"time","room_co2_mass_state","der(room_co2_mass_state)","ach_command_1_per_h","actual_co2_generation_kg_s","controller.requested_ach_1_per_h","normalized_co2_feedback","occupants_person","people_source_carrier_m_flow_kg_s","room_co2_mass_fraction_kgkg","room_co2_ppm","source_m_flow_command_kg_s","time_s","controller.invalidStartTime","controller.mode","controller_mode","controller.sensor_valid","sensor_fault_indication","controller.ach_command_1_per_h","controller.normalized_co2_feedback","normalizedFeedbackExpr.y","occupancySchedule.occupants_person","physical_supply_m_flow_kg_s","controller.controller_mode","controller.sensor_fault_indication"
0,0.054684,3.614007241618348e-22,0.2,0,-0.6999999999999993,0.3,0,0,0.0004557,299.9688479890934,-0.006666666666666667,0,0,1,0,1,0,0.2,0.3,0.3,0,0.006666666666666667,0,0
60,0.054684,3.614007241618348e-22,0.2,0,-0.6999999999999993,0.3,0,0,0.0004557,299.9688479890934,-0.006666666666666667,60,0,1,0,1,0,0.2,0.3,0.3,0,0.006666666666666667,0,0
120,0.054684,3.614007241618348e-22,0.2,0,-0.6999999999999993,0.3,0,0,0.0004557,299.9688479890934,-0.006666666666666667,120,0,1,0,1,0,0.2,0.3,0.3,0,0.006666666666666667,0,0
180,0.054684,3.614007241618348e-22,0.2,0,-0.6999999999999993,0.3,0,0,0.0004557,299.9688479890934,-0.006666666666666667,180,0,1,0,1,0,0.2,0.3,0.3,0,0.006666666666666667,0,0
240,0.054684,3.614007241618348e-22,0.2,0,-0.6999999999999993,0.3,0,0,0.0004557,299.9688479890934,-0.006666666666666667,240,0,1,0,1,0,0.2,0.3,0.3,0,0.006666666666666667,0,0
300,0.054684,3.614007241618348e-22,0.2,0,-0.6999999999999993,0.3,0,0,0.0004557,299.9688479890934,-0.006666666666666667,300,0,1,0,1,0,0.2,0.3,0.3,0,0.006666666666666667,0,0
360,0.054684,3.614007241618348e-22,0.2,0,-0.6999999999999993,0.3,0,0,0.0004557,299.9688479890934,-0.006666666666666667,360,0,1,0,1,0,0.2,0.3,0.3,0,0.006666666666666667,0,0
420,0.054684,3.614007241618348e-22,0.2,0,-0.6999999999999993,0.3,0,0,0.0004557,299.9688479890934,-0.006666666666666667,420,0,1,0,1,0,0.2,0.3,0.3,0,0.006666666666666667,0,0
480,0.054684,3.614007241618348e-22,0.2,0,-0.6999999999999993,0.3,0,0,0.0004557,299.9688479890934,-0.006666666666666667,480,0,1,0,1,0,0.2,0.3,0.3,0,0.006666666666666667,0,0
540,0.054684,3.614007241618348e-22,0.2,0,-0.6999999999999993,0.3,0,0,0.0004557,299.9688479890934,-0.006666666666666667,540,0,1,0,1,0,0.2,0.3,0.3,0,0.006666666666666667,0,0
600,0.054684,3.614007241618348e-22,0.2,0,-0.6999999999999993,0.3,0,0,0.0004557,299.9688479890934,-0.006666666666666667,600,0,1,0,1,0,0.2,0.3,0.3,0,0.006666666666666667,0,0
