time_s,I_rms_A,mmf_At,Phi_core_Wb,Phi_gap_Wb,Phi_leak_Wb,B_core_T,B_gap_T,H_core_A_m,H_gap_A_m,Vm_core_At,Vm_gap_At,U_exc_induced_V_rms,U_meas_induced_signed_V_rms,Phi_gap_over_Phi_core
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0.105,0.025,14.999999999999972,6.5616927088206305e-06,6.0367572921149805e-06,5.249354167056504e-07,0.010498708334113007,0.009658811667383967,6.962172197725679,7686.23810628915,3.470642840566251,11.529357159433726,1.2368499365486763,-0.09482516180206518,0.92
0.11,0.05,29.999999999999986,1.312338541764128e-05,1.2073514584229978e-05,1.0498708334113023e-06,0.020997416668226042,0.019317623334767962,13.924344395451376,15372.476212578322,6.941285681132511,23.058714318867484,2.473699873097356,-0.18965032360413062,0.92
0.115,0.075,45.0,1.968507812646193e-05,1.8110271876344975e-05,1.5748062501169545e-06,0.03149612500233908,0.028976435002151954,20.886516593177074,23058.714318867493,10.411928521698771,34.58807147830124,3.710549809646036,-0.28447548540619605,0.92
0.12,0.1,59.99999999999997,2.624677083528256e-05,2.4147029168459956e-05,2.0997416668226047e-06,0.041994833336452084,0.038635246669535925,27.848688790902752,30744.952425156644,13.882571362265022,46.11742863773497,4.947399746194712,-0.37930064720826123,0.92
0.125,0.125,74.99999999999999,3.280846354410321e-05,3.0183786460574953e-05,2.6246770835282568e-06,0.05249354167056512,0.048294058336919916,34.81086098862845,38431.19053144581,17.353214202831282,57.64678579716872,6.184249682743392,-0.4741258090103267,0.92
0.13,0.15,90.0,3.937015625292386e-05,3.622054375268995e-05,3.149612500233909e-06,0.06299225000467816,0.05795287000430391,41.77303318635415,46117.428637734985,20.823857043397542,69.17614295660248,7.421099619292072,-0.5689509708123921,0.92
