"time","capacitor.v","inductor.i","der(capacitor.v)","der(inductor.i)","ground.p.i","ground.p.v","idealSwitch.LossPower","idealSwitch.T_heatPort","idealSwitch.v","inductor.v","resistor.LossPower","resistor.R_actual","resistor.n.v","resistor.v","switch_closed","idealSwitch.control","capacitor.i","capacitor.n.i","capacitor.n.v","capacitor.p.i","capacitor.p.v","capacitor_voltage_V","idealSwitch.i","idealSwitch.n.i","idealSwitch.n.v","idealSwitch.p.i","idealSwitch.p.v","inductor.n.i","inductor.n.v","inductor.p.i","inductor.p.v","loop_current_A","resistor.i","resistor.n.i","resistor.p.i","resistor.p.v","scheduledSwitch.closed"
0,10,0,0,-10,0,0,0,293.15,0,-10,0,0.2,-0,0,0,0,0,-0,0,0,10,10,0,-0,-0,0,0,-0,10,0,-0,0,0,-0,0,-0,0
0.15,9.999998500010452,-9.99999650002115e-06,-9.99999650002115e-06,9.99911264898401e-12,0,0,9.999993000043527e-05,293.15,-9.999996500021151,9.99911264898401e-12,1.999998600008705e-11,0.2,9.999998500020451,-1.99999930000423e-06,0,0,-9.99999650002115e-06,9.99999650002115e-06,0,-9.99999650002115e-06,9.999998500010452,9.999998500010452,-9.99999650002115e-06,9.99999650002115e-06,9.999996500021151,-9.99999650002115e-06,0,9.99999650002115e-06,9.999998500010452,-9.99999650002115e-06,9.999998500020451,-9.99999650002115e-06,-9.99999650002115e-06,9.99999650002115e-06,-9.99999650002115e-06,9.999996500021151,0
0.3,9.999997000011209,-9.999995000022206e-06,-9.999995000022206e-06,9.99733629214461e-12,0,0,9.999990000046913e-05,293.15,-9.999995000022206,9.99733629214461e-12,1.999998000009383e-11,0.2,9.999997000021207,-1.999999000004442e-06,0,0,-9.999995000022206e-06,9.999995000022206e-06,0,-9.999995000022206e-06,9.999997000011209,9.999997000011209,-9.999995000022206e-06,9.999995000022206e-06,9.999995000022206,-9.999995000022206e-06,0,9.999995000022206e-06,9.999997000011209,-9.999995000022206e-06,9.999997000021207,-9.999995000022206e-06,-9.999995000022206e-06,9.999995000022206e-06,-9.999995000022206e-06,9.999995000022206,0
0.45,9.999995500012398,-9.999993500023696e-06,-9.999993500023696e-06,9.99911264898401e-12,0,0,9.999987000051618e-05,293.15,-9.999993500023697,9.99911264898401e-12,1.999997400010324e-11,0.2,9.999995500022397,-1.999998700004739e-06,0,0,-9.999993500023696e-06,9.999993500023696e-06,0,-9.999993500023696e-06,9.999995500012398,9.999995500012398,-9.999993500023696e-06,9.999993500023696e-06,9.999993500023697,-9.999993500023696e-06,0,9.999993500023696e-06,9.999995500012398,-9.999993500023696e-06,9.999995500022397,-9.999993500023696e-06,-9.999993500023696e-06,9.999993500023696e-06,-9.999993500023696e-06,9.999993500023697,0
0.6,9.999994000013629,-9.999992000025227e-06,-9.999992000025227e-06,9.99733629214461e-12,0,0,9.999984000056854e-05,293.15,-9.999992000025227,9.99733629214461e-12,1.999996800011371e-11,0.2,9.999994000023626,-1.999998400005045e-06,0,0,-9.999992000025227e-06,9.999992000025227e-06,0,-9.999992000025227e-06,9.999994000013629,9.999994000013629,-9.999992000025227e-06,9.999992000025227e-06,9.999992000025227,-9.999992000025227e-06,0,9.999992000025227e-06,9.999994000013629,-9.999992000025227e-06,9.999994000023626,-9.999992000025227e-06,-9.999992000025227e-06,9.999992000025227e-06,-9.999992000025227e-06,9.999992000025227,0
0.75,9.999992500015708,-9.999990500027606e-06,-9.999990500027606e-06,9.99911264898401e-12,0,0,9.999981000064238e-05,293.15,-9.999990500027607,9.99911264898401e-12,1.999996200012847e-11,0.2,9.999992500025707,-1.999998100005521e-06,0,0,-9.999990500027606e-06,9.999990500027606e-06,0,-9.999990500027606e-06,9.999992500015708,9.999992500015708,-9.999990500027606e-06,9.999990500027606e-06,9.999990500027607,-9.999990500027606e-06,0,9.999990500027606e-06,9.999992500015708,-9.999990500027606e-06,9.999992500025707,-9.999990500027606e-06,-9.999990500027606e-06,9.999990500027606e-06,-9.999990500027606e-06,9.999990500027607,0
0.9,9.999991000017788,-9.999989000029986e-06,-9.999989000029986e-06,9.99733629214461e-12,0,0,9.999978000072071e-05,293.15,-9.999989000029986,9.99733629214461e-12,1.999995600014415e-11,0.2,9.999991000027785,-1.999997800005997e-06,0,0,-9.999989000029986e-06,9.999989000029986e-06,0,-9.999989000029986e-06,9.999991000017788,9.999991000017788,-9.999989000029986e-06,9.999989000029986e-06,9.999989000029986,-9.999989000029986e-06,0,9.999989000029986e-06,9.999991000017788,-9.999989000029986e-06,9.999991000027785,-9.999989000029986e-06,-9.999989000029986e-06,9.999989000029986e-06,-9.999989000029986e-06,9.999989000029986,0
1.05,9.999989500019867,-9.999987500032367e-06,-9.999987500032367e-06,9.99911264898401e-12,0,0,9.999975000080358e-05,293.15,-9.999987500032367,9.99911264898401e-12,1.999995000016072e-11,0.2,9.999989500029866,-1.999997500006474e-06,0,0,-9.999987500032367e-06,9.999987500032367e-06,0,-9.999987500032367e-06,9.999989500019867,9.999989500019867,-9.999987500032367e-06,9.999987500032367e-06,9.999987500032367,-9.999987500032367e-06,0,9.999987500032367e-06,9.999989500019867,-9.999987500032367e-06,9.999989500029866,-9.999987500032367e-06,-9.999987500032367e-06,9.999987500032367e-06,-9.999987500032367e-06,9.999987500032367,0
1.2,9.999988000022109,-9.999986000034909e-06,-9.999986000034909e-06,1.000088900582341e-11,0,0,9.999972000089418e-05,293.15,-9.999986000034909,1.000088900582341e-11,1.999994400017884e-11,0.2,9.99998800003211,-1.999997200006982e-06,0,0,-9.999986000034909e-06,9.999986000034909e-06,0,-9.999986000034909e-06,9.999988000022109,9.999988000022109,-9.999986000034909e-06,9.999986000034909e-06,9.999986000034909,-9.999986000034909e-06,0,9.999986000034909e-06,9.999988000022109,-9.999986000034909e-06,9.99998800003211,-9.999986000034909e-06,-9.999986000034909e-06,9.999986000034909e-06,-9.999986000034909e-06,9.999986000034909,0
1.35,9.999986500025969,-9.999984500039069e-06,-9.999984500039069e-06,1.000088900582341e-11,0,0,9.999969000102163e-05,293.15,-9.999984500039069,1.000088900582341e-11,1.999993800020433e-11,0.2,9.99998650003597,-1.999996900007814e-06,0,0,-9.999984500039069e-06,9.999984500039069e-06,0,-9.999984500039069e-06,9.999986500025969,9.999986500025969,-9.999984500039069e-06,9.999984500039069e-06,9.999984500039069,-9.999984500039069e-06,0,9.999984500039069e-06,9.999986500025969,-9.999984500039069e-06,9.99998650003597,-9.999984500039069e-06,-9.999984500039069e-06,9.999984500039069e-06,-9.999984500039069e-06,9.999984500039069,0
