"time","tank1.level","tank2.level","der(tank1.level)","der(tank2.level)","PLC_101.waitElapsed","shutCmd.combiTimeTable.y[1]","startCmd.combiTimeTable.y[1]","stopCmd.combiTimeTable.y[1]","tank1.qOut","tank2.qOut","valve1.flowOut","valve1_open","valve2.flowOut","valve2_open","valve3.flowOut","valve3_open","PLC_101.remainingWait","PLC_101.tEnter","PLC_101.mode","PLC_101.resumeMode","controller_state","PLC_101.shutPulse","PLC_101.shutSample","PLC_101.startPulse","PLC_101.startSample","PLC_101.stopPulse","PLC_101.stopSample","PLC_101.valve1Cmd","PLC_101.valve2Cmd","PLC_101.valve3Cmd","shutCmd.y","startCmd.y","stopCmd.y","PLC_101.tank1Level","PLC_101.tank2Level","shutCmd.realToBoolean.u","startCmd.realToBoolean.u","stopCmd.realToBoolean.u","tank1.inflow","tank1.levelOut","tank1.outflowCmd","tank1_level_m","tank2.inflow","tank2.levelOut","tank2.outflowCmd","tank2_level_m","PLC_101.controller_state","PLC_101.shutButton","PLC_101.startButton","PLC_101.stopButton","shutCmd.realToBoolean.y","startCmd.realToBoolean.y","stopCmd.realToBoolean.y","valve1.openCmd","valve2.openCmd","valve3.openCmd"
0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0.05,0,0.05,0,0.05,0,0.05,1,0,0,0,0,0,0,0,0,0
0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0.05,0,0.05,0,0.05,0,0.05,1,0,0,0,0,0,0,0,0,0
0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0.05,0,0.05,0,0.05,0,0.05,1,0,0,0,0,0,0,0,0,0
0.1,0.05,0.05,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0.05,0,0.05,0,0.05,0,0.05,1,0,0,0,0,0,0,0,0,0
0.1,0.05,0.05,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0.05,0,0.05,0,0.05,0,0.05,1,0,0,0,0,0,0,0,0,0
0.2,0.05,0.05,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0.05,0,0.05,0,0.05,0,0.05,1,0,0,0,0,0,0,0,0,0
0.2,0.05,0.05,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0.05,0,0.05,0,0.05,0,0.05,1,0,0,0,0,0,0,0,0,0
0.3,0.05,0.05,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0.05,0,0.05,0,0.05,0,0.05,1,0,0,0,0,0,0,0,0,0
0.3,0.05,0.05,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0.05,0,0.05,0,0.05,0,0.05,1,0,0,0,0,0,0,0,0,0
0.4,0.05,0.05,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0.05,0,0.05,0,0.05,0,0.05,1,0,0,0,0,0,0,0,0,0
