"time","TK_101.level","TK_102.level","PB_SHUT.combiTimeTable.y[1]","PB_START.combiTimeTable.y[1]","PB_STOP.combiTimeTable.y[1]","XV_101.flow_m3s","drainRequest_m3s","time_s","transferRequest_m3s","wait_remaining_s","controller_state_id","PB_SHUT.y","PB_START.y","PB_STOP.y","valve1_cmd","valve2_cmd","valve3_cmd","PB_SHUT.realToBoolean.u","PB_START.realToBoolean.u","PB_STOP.realToBoolean.u","PLC_101.LT101_level_m","PLC_101.LT102_level_m","PLC_101.wait_remaining_s","TK_101.inflow_m3s","TK_101.level_m","TK_101.outflowRequest_m3s","TK_102.inflow_m3s","TK_102.level_m","TK_102.outflowRequest_m3s","XV_102.flow_m3s","XV_103.flow_m3s","tank1_level_m","tank2_level_m","PLC_101.controller_state_id","PB_SHUT.realToBoolean.y","PB_START.realToBoolean.y","PB_STOP.realToBoolean.y","PLC_101.shutButton","PLC_101.startButton","PLC_101.stopButton","PLC_101.valve1_cmd","PLC_101.valve2_cmd","PLC_101.valve3_cmd","XV_101.openCmd","XV_102.openCmd","XV_103.openCmd"
0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0.05,0,0.05,0.05,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0.05,0,0.05,0.05,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0.05,0,0.05,0.05,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0.05,0.05357142857142858,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05357142857142858,0,0,0.05,0,0.05,0.05357142857142858,0,0,0,0.05,0.05357142857142858,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0.05,0.05357142857142858,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05357142857142858,0,0,0.05,0,0.05,0.05357142857142858,0,0,0,0.05,0.05357142857142858,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.05,0.05714285714285715,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05714285714285715,0,0,0.05,0,0.05,0.05714285714285715,0,0,0,0.05,0.05714285714285715,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.05,0.05714285714285715,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05714285714285715,0,0,0.05,0,0.05,0.05714285714285715,0,0,0,0.05,0.05714285714285715,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,0.05,0.06071428571428572,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06071428571428572,0,0,0.05,0,0.05,0.06071428571428572,0,0,0,0.05,0.06071428571428572,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,0.05,0.06071428571428572,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06071428571428572,0,0,0.05,0,0.05,0.06071428571428572,0,0,0,0.05,0.06071428571428572,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0.05,0.06428571428571429,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06428571428571429,0,0,0.05,0,0.05,0.06428571428571429,0,0,0,0.05,0.06428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0.05,0.06428571428571429,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06428571428571429,0,0,0.05,0,0.05,0.06428571428571429,0,0,0,0.05,0.06428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.05,0.06785714285714287,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06785714285714287,0,0,0.05,0,0.05,0.06785714285714287,0,0,0,0.05,0.06785714285714287,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.05,0.06785714285714287,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06785714285714287,0,0,0.05,0,0.05,0.06785714285714287,0,0,0,0.05,0.06785714285714287,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6,0.05,0.07142857142857144,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.07142857142857144,0,0,0.05,0,0.05,0.07142857142857144,0,0,0,0.05,0.07142857142857144,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6,0.05,0.07142857142857144,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.07142857142857144,0,0,0.05,0,0.05,0.07142857142857144,0,0,0,0.05,0.07142857142857144,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0.05,0.07500000000000001,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.07500000000000001,0,0,0.05,0,0.05,0.07500000000000001,0,0,0,0.05,0.07500000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0.05,0.07500000000000001,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.07500000000000001,0,0,0.05,0,0.05,0.07500000000000001,0,0,0,0.05,0.07500000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7999999999999999,0.05,0.07857142857142858,0,0,0,0,0,0.7999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.07857142857142858,0,0,0.05,0,0.05,0.07857142857142858,0,0,0,0.05,0.07857142857142858,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7999999999999999,0.05,0.07857142857142858,0,0,0,0,0,0.7999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.07857142857142858,0,0,0.05,0,0.05,0.07857142857142858,0,0,0,0.05,0.07857142857142858,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8999999999999999,0.05,0.08214285714285716,0,0,0,0,0,0.8999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.08214285714285716,0,0,0.05,0,0.05,0.08214285714285716,0,0,0,0.05,0.08214285714285716,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8999999999999999,0.05,0.08214285714285716,0,0,0,0,0,0.8999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.08214285714285716,0,0,0.05,0,0.05,0.08214285714285716,0,0,0,0.05,0.08214285714285716,0,0,0,0,0,0,0,0,0,0,0,0,0
