## Entities
tank1, tank, tank1
tank2, tank, tank2
valve1, valve, valve1
valve2, valve, valve2
valve3, valve, valve3
controller, controller, controller

## Relationships
None

## Requirements
None

## Behaviors
| time_s | cmd_start | cmd_stop | cmd_shut | tank1_level_m | tank2_level_m | valve1_open | valve2_open | valve3_open | controller_state | wait_remaining_s |
|---|---|---|---|---|---|---|---|---|---|---|
| 0 | 0 | 0 | 0 | 0.05 | 0.05 | 0 | 0 | 0 | IDLE | 0 |
| 1 | 0 | 0 | 0 | 0.05 | 0.05 | 0 | 0 | 0 | IDLE | 0 |
| 2 | 0 | 0 | 0 | 0.05 | 0.05 | 0 | 0 | 0 | IDLE | 0 |
| 3 | 0 | 0 | 0 | 0.05 | 0.05 | 0 | 0 | 0 | IDLE | 0 |
| 4 | 0 | 0 | 0 | 0.05 | 0.05 | 0 | 0 | 0 | IDLE | 0 |
| 5 | 0 | 0 | 0 | 0.05 | 0.05 | 0 | 0 | 0 | IDLE | 0 |
| 6 | 0 | 0 | 0 | 0.05 | 0.05 | 0 | 0 | 0 | IDLE | 0 |
| 7 | 0 | 0 | 0 | 0.05 | 0.05 | 0 | 0 | 0 | IDLE | 0 |
| 8 | 0 | 0 | 0 | 0.05 | 0.05 | 0 | 0 | 0 | IDLE | 0 |
| 9 | 0 | 0 | 0 | 0.05 | 0.05 | 0 | 0 | 0 | IDLE | 0 |
| 10 | 0 | 0 | 0 | 0.05 | 0.05 | 0 | 0 | 0 | IDLE | 0 |
| 11 | 0 | 0 | 0 | 0.05 | 0.05 | 0 | 0 | 0 | IDLE | 0 |
| 12 | 0 | 0 | 0 | 0.05 | 0.05 | 0 | 0 | 0 | IDLE | 0 |
| 13 | 0 | 0 | 0 | 0.05 | 0.05 | 0 | 0 | 0 | IDLE | 0 |
| 14 | 0 | 0 | 0 | 0.05 | 0.05 | 0 | 0 | 0 | IDLE | 0 |
| 15 | 0 | 0 | 0 | 0.05 | 0.05 | 0 | 0 | 0 | IDLE | 0 |
| 16 | 0 | 0 | 0 | 0.05 | 0.05 | 0 | 0 | 0 | IDLE | 0 |
| 17 | 0 | 0 | 0 | 0.05 | 0.05 | 0 | 0 | 0 | IDLE | 0 |
| 18 | 0 | 0 | 0 | 0.05 | 0.05 | 0 | 0 | 0 | IDLE | 0 |
| 19 | 0 | 0 | 0 | 0.055 | 0.05 | 1 | 0 | 0 | FILL_T1 | 0 |
| 20 | 0 | 0 | 0 | 0.055 | 0.05 | 1 | 0 | 0 | FILL_T1 | 0 |
| 21 | 0 | 0 | 0 | 0.06 | 0.05 | 1 | 0 | 0 | FILL_T1 | 0 |
| 22 | 0 | 0 | 0 | 0.065 | 0.05 | 1 | 0 | 0 | FILL_T1 | 0 |
| 23 | 0 | 0 | 0 | 0.07 | 0.05 | 1 | 0 | 0 | FILL_T1 | 0 |
| 24 | 0 | 0 | 0 | 0.075 | 0.05 | 1 | 0 | 0 | FILL_T1 | 0 |
| 25 | 0 | 0 | 0 | 0.08 | 0.05 | 1 | 0 | 0 | FILL_T1 | 0 |
| 26 | 0 | 0 | 0 | 0.085 | 0.05 | 1 | 0 | 0 | FILL_T1 | 0 |
| 27 | 0 | 0 | 0 | 0.09 | 0.05 | 1 | 0 | 0 | FILL_T1 | 0 |
| 28 | 0 | 0 | 0 | 0.095 | 0.05 | 1 | 0 | 0 | FILL_T1 | 0 |
| 29 | 0 | 0 | 0 | 0.1 | 0.05 | 1 | 0 | 0 | FILL_T1 | 0 |
| 30 | 0 | 0 | 0 | 0.105 | 0.05 | 1 | 0 | 0 | FILL_T1 | 0 |
| 31 | 0 | 0 | 0 | 0.11 | 0.05 | 1 | 0 | 0 | FILL_T1 | 0 |
| 32 | 0 | 0 | 0 | 0.115 | 0.05 | 1 | 0 | 0 | FILL_T1 | 0 |
| 33 | 0 | 0 | 0 | 0.12 | 0.05 | 1 | 0 | 0 | FILL_T1 | 0 |
| 34 | 0 | 0 | 0 | 0.125 | 0.05 | 1 | 0 | 0 | FILL_T1 | 0 |
| 35 | 0 | 0 | 0 | 0.13 | 0.05 | 1 | 0 | 0 | FILL_T1 | 0 |
| 36 | 0 | 0 | 0 | 0.135 | 0.05 | 1 | 0 | 0 | FILL_T1 | 0 |
| 37 | 0 | 0 | 0 | 0.14 | 0.05 | 1 | 0 | 0 | FILL_T1 | 0 |
| 38 | 0 |
